id,name,category_code,Operating,Acquired,IPO,Closed,Closed_date,country_code,region,first_funding_date,last_funding_date,funding_rounds,funding_total_usd,emp_engineering_degrees,emp_cs_degrees,emp_business_degrees,emp_matphy_degrees,emp_law_degrees,emp_social_degrees,emp_top_uni_degrees,emp_top_business_degrees,f_engineering_degrees,f_cs_degrees,f_business_degrees,f_matphy_degrees,f_law_degrees,f_social_degrees,f_top_uni_degrees,f_top_business_degrees,emp_big_5_people,emp_mbb_people,emp_industry_people,emp_successful_startup_people,emp_failed_startup_people,emp_succesful_founders,emp_failed_founders,f_big_5_people,f_mbb_people,f_industry_people,f_successful_startup_people,f_failed_startup_people,f_succesful_founders,f_failed_founders,founded_date
5304,TickIt Trading Systems,software,0,1,0,0,,USA,Chicago,,,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
5305,LocalBlox,web,1,0,0,0,,USA,Seattle,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
5306,GT Nexus,software,1,0,0,0,,USA,SF Bay,2007,2011,2,11753046,3,2,9,0,0,0,6,3,0,1,0,0,0,0,0,1,0,0,4,2,0,0,0,0,0,0,0,0,0,0,1998
5307,Majestic Research,search,0,1,0,0,,USA,New York,,,0,0,0,0,3,1,0,0,2,3,0,0,0,0,0,0,1,0,1,0,1,2,1,2,0,0,0,0,1,0,1,1,2002
5308,ShortForm,enterprise,1,0,0,0,,USA,SF Bay,,,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
5309,Jana Mobile,mobile,1,0,0,0,,USA,Boston,2009,2013,4,24175000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
5310,mygola,travel,1,0,0,0,,USA,Washington DC,2010,2013,3,2658000,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
5311,Promedior,biotech,1,0,0,0,,USA,Boston,2006,2012,5,57000000,6,0,3,0,0,0,10,2,1,0,0,0,0,0,1,0,0,0,6,4,1,0,0,0,0,0,1,0,0,0,2006
5312,VC Experts,analytics,1,0,0,0,,USA,Shreveport,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999
5313,Smartling,enterprise,1,0,0,0,,USA,New York,2010,2013,3,38099998,2,1,2,0,0,0,3,2,1,1,1,0,0,0,1,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,2009
5314,Counsyl,biotech,1,0,0,0,,USA,SF Bay,2008,2012,6,65200000,0,1,3,3,1,0,14,1,3,1,0,0,0,0,5,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,2008
5315,Spot formerly PlacePop,web,1,0,0,0,,USA,SF Bay,2010,2010,2,1900000,0,0,2,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2009
5316,Email Marketing - EmailBrain,NULL,1,0,0,0,,USA,Vancouver,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003
5317,OptaVista,software,1,0,0,0,,USA,Seattle,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2009
5318,AppVault,software,1,0,0,0,,USA,Atlanta,2004,2004,1,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001
5319,IFILM,games_video,1,0,0,0,,USA,Los Angeles,,,0,0,1,1,1,0,0,0,4,0,0,0,1,0,0,0,0,0,1,0,2,2,2,1,0,0,0,0,0,0,1,0,1999
5320,CrowdZone,mobile,1,0,0,0,,USA,SF Bay,2009,2009,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2009
5321,WHObyYOU,web,0,0,0,1,2012,USA,New York,2008,2008,1,150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
